mixture_ID,speaker_1_ID,speaker_1_sex
5514-19192-0043,5514,F
2159-179154-0018,2159,M
3436-172162-0052,3436,M
7178-34644-0027,7178,F
4195-17507-0043,4195,F
3242-8112-0009,3242,M
118-47824-0086,118,M
1116-132851-0018,1116,F
198-126831-0039,198,F
211-122442-0031,211,F
125-121124-0086,125,F
460-172359-0055,460,M
7635-105661-0014,7635,F
118-121721-0000,118,M
6476-57446-0070,6476,F
26-495-0017,26,M
2136-5147-0011,2136,M
4340-15220-0047,4340,F
8014-112602-0025,8014,F
669-129074-0009,669,F
83-11691-0041,83,F
1867-154075-0019,1867,M
3436-172162-0013,3436,M
8108-280354-0031,8108,M
5561-41615-0024,5561,F
1081-125237-0032,1081,M
7190-90542-0025,7190,M
1963-147036-0027,1963,F
307-127535-0028,307,M
831-130746-0060,831,M
6081-41997-0017,6081,M
6000-86686-0022,6000,F
5339-14134-0057,5339,F
6531-61334-0129,6531,F
4441-76262-0015,4441,M
7190-90542-0023,7190,M
1553-140047-0051,1553,F
7059-77900-0041,7059,F
1455-138263-0004,1455,M
2518-154825-0037,2518,M
8095-274346-0020,8095,M
7302-86814-0029,7302,F
40-222-0033,40,F
2182-181183-0008,2182,F
6531-61334-0084,6531,F
4137-11701-0038,4137,F
730-359-0050,730,F
6925-80680-0036,6925,M
1183-133256-0017,1183,F
2989-138028-0042,2989,F
6925-80680-0046,6925,M
1040-133433-0021,1040,M
460-172359-0060,460,M
1737-142397-0007,1737,F
4362-15663-0085,4362,F
27-124992-0043,27,M
4014-186183-0025,4014,M
7190-90543-0012,7190,M
460-172359-0082,460,M
6836-61803-0038,6836,M
3259-158083-0099,3259,F
3214-167602-0028,3214,M
4441-76250-0031,4441,M
2391-145015-0105,2391,F
32-21634-0009,32,F
1502-122619-0032,1502,F
4088-158077-0098,4088,F
8063-274112-0010,8063,M
201-127786-0066,201,M
7859-102519-0051,7859,F
3259-158083-0011,3259,F
322-124146-0005,322,F
5339-14134-0024,5339,F
1034-121119-0084,1034,M
4014-186176-0003,4014,M
4014-186176-0034,4014,M
2436-2477-0024,2436,M
1034-121119-0012,1034,M
1502-122619-0087,1502,F
1334-135589-0001,1334,M
89-219-0049,89,F
6880-216547-0056,6880,M
328-129766-0074,328,F
7505-83618-0021,7505,M
2893-139310-0017,2893,M
125-121124-0064,125,F
5808-54425-0033,5808,M
1034-121119-0041,1034,M
2764-36617-0037,2764,F
5652-39938-0023,5652,F
403-216-0017,403,F
5049-25947-0103,5049,M
5339-14134-0022,5339,F
8629-261140-0019,8629,M
3242-8112-0033,3242,M
6531-61334-0127,6531,F
211-122442-0026,211,F
1737-142397-0011,1737,F
3242-8112-0024,3242,M
4441-76250-0012,4441,M
5192-19397-0071,5192,M
2989-138035-0047,2989,F
4397-15666-0026,4397,M
4051-11218-0029,4051,F
8747-293952-0054,8747,M
118-47824-0085,118,M
2691-156745-0013,2691,F
5192-19397-0004,5192,M
1455-134435-0058,1455,M
89-219-0031,89,F
78-368-0031,78,M
1455-134435-0026,1455,M
3830-12535-0020,3830,M
4014-186175-0021,4014,M
4014-186179-0012,4014,M
7226-86965-0016,7226,M
8226-274369-0044,8226,M
460-172359-0040,460,M
1867-154071-0005,1867,M
254-12312-0013,254,M
8465-246943-0004,8465,F
4481-17498-0002,4481,F
1624-168623-0037,1624,M
4014-186179-0040,4014,M
2817-142371-0006,2817,F
254-127705-0027,254,M
730-359-0042,730,F
1502-122619-0050,1502,F
1183-133256-0025,1183,F
5339-14133-0044,5339,F
2007-149877-0060,2007,F
2989-138028-0047,2989,F
5456-24741-0010,5456,M
211-122442-0010,211,F
8088-284756-0079,8088,M
2436-2481-0018,2436,M
6078-54013-0034,6078,F
4051-10927-0002,4051,F
3436-172171-0062,3436,M
1970-10594-0014,1970,F
7505-83618-0017,7505,M
27-124992-0053,27,M
8238-274553-0022,8238,F
125-121124-0077,125,F
8419-293469-0001,8419,M
298-126791-0061,298,F
3214-167602-0009,3214,M
7190-90542-0027,7190,M
2764-36616-0000,2764,F
3830-12535-0032,3830,M
4680-16042-0004,4680,F
8770-295463-0024,8770,M
7078-271888-0087,7078,F
89-219-0046,89,F
211-122425-0000,211,F
2182-181183-0010,2182,F
4441-76263-0011,4441,M
7367-86737-0000,7367,M
322-124147-0020,322,F
1034-121119-0018,1034,M
1235-135883-0045,1235,M
322-124146-0023,322,F
7178-34644-0029,7178,F
2136-5143-0042,2136,M
78-368-0038,78,M
458-126294-0009,458,M
1970-10594-0028,1970,F
125-121124-0085,125,F
211-122442-0019,211,F
254-27760-0003,254,M
6181-216552-0081,6181,M
1116-132847-0011,1116,F
1926-143879-0030,1926,F
4014-186176-0033,4014,M
2989-138028-0015,2989,F
40-121026-0012,40,F
4195-186238-0000,4195,F
1246-135815-0023,1246,F
4014-186176-0032,4014,M
403-126855-0027,403,F
2989-138035-0063,2989,F
403-128339-0013,403,F
7190-90542-0072,7190,M
7367-86737-0098,7367,M
4859-29340-0039,4859,M
6000-55211-0042,6000,F
7312-92432-0000,7312,M
5750-35690-0012,5750,M
8063-274112-0034,8063,M
3723-171115-0001,3723,M
3168-173565-0052,3168,M
311-124404-0019,311,M
5339-14133-0001,5339,F
1034-121119-0036,1034,M
1502-122619-0086,1502,F
2817-142371-0062,2817,F
730-358-0059,730,F
2817-142380-0024,2817,F
5561-41615-0046,5561,F
7278-104730-0019,7278,M
1578-6379-0015,1578,F
311-124404-0080,311,M
125-121124-0047,125,F
1867-154071-0034,1867,M
445-123857-0007,445,M
6272-70191-0000,6272,F
89-219-0010,89,F
7302-86815-0081,7302,F
32-4137-0058,32,F
6147-34606-0007,6147,F
4088-158077-0076,4088,F
211-122442-0083,211,F
1183-128659-0007,1183,F
8063-274117-0020,8063,M
1970-10594-0029,1970,F
839-130898-0043,839,M
4051-11218-0025,4051,F
211-122425-0066,211,F
481-123719-0024,481,M
1594-135914-0048,1594,M
6531-61334-0014,6531,F
2843-152918-0075,2843,M
5022-29411-0017,5022,F
3607-29116-0043,3607,M
5049-25947-0010,5049,M
2764-36619-0038,2764,F
6925-80680-0085,6925,M
6476-57446-0032,6476,F
3112-9555-0000,3112,F
5561-39621-0022,5561,F
1246-135815-0016,1246,F
322-124146-0037,322,F
6476-57446-0039,6476,F
2952-408-0005,2952,M
125-121124-0075,125,F
8088-284756-0017,8088,M
5688-41232-0041,5688,F
5390-30096-0033,5390,M
7302-86814-0044,7302,F
3112-9555-0026,3112,F
27-124992-0009,27,M
6367-74004-0028,6367,M
4195-17507-0048,4195,F
3723-171115-0052,3723,M
8465-246942-0010,8465,F
6000-55211-0029,6000,F
1183-128659-0012,1183,F
1898-145724-0024,1898,F
7859-102518-0011,7859,F
5514-19192-0045,5514,F
163-122947-0022,163,M
1455-138263-0047,1455,M
332-128985-0027,332,M
254-127705-0005,254,M
8063-274116-0019,8063,M
4267-72637-0020,4267,M
4813-248638-0005,4813,M
307-127539-0010,307,M
200-126784-0013,200,F
3240-131231-0054,3240,M
8747-293952-0039,8747,M
4014-186176-0024,4014,M
8098-275181-0015,8098,M
8051-295385-0035,8051,F
3242-8112-0044,3242,M
8747-293952-0109,8747,M
8063-274117-0006,8063,M
8770-295465-0030,8770,M
26-495-0007,26,M
1898-145715-0043,1898,F
27-124992-0028,27,M
83-9960-0036,83,F
8014-112602-0013,8014,F
27-124992-0072,27,M
163-122947-0012,163,M
5163-18515-0037,5163,F
7178-34644-0063,7178,F
441-128982-0027,441,F
4640-19187-0031,4640,F
233-134440-0046,233,M
5456-58161-0013,5456,M
198-129977-0016,198,F
248-130697-0036,248,F
4014-186179-0027,4014,M
211-122442-0071,211,F
1867-148436-0012,1867,M
4640-19187-0027,4640,F
5808-54425-0046,5808,M
6476-57446-0033,6476,F
229-130880-0089,229,M
229-130880-0079,229,M
4898-28461-0056,4898,M
8747-293952-0059,8747,M
1455-134435-0044,1455,M
839-130898-0061,839,M
669-129061-0033,669,F
1502-122619-0003,1502,F
4640-19188-0003,4640,F
1926-147987-0024,1926,F
1034-121119-0042,1034,M
150-132655-0033,150,F
4051-11218-0004,4051,F
1455-138263-0034,1455,M
5688-41232-0059,5688,F
2910-131096-0047,2910,F
5456-62014-0007,5456,M
5514-19192-0025,5514,F
7302-86815-0075,7302,F
8108-280354-0014,8108,M
8324-286682-0013,8324,F
4406-16883-0048,4406,M
4406-16882-0025,4406,M
5750-35690-0009,5750,M
441-128988-0000,441,F
60-121082-0077,60,M
2836-5354-0041,2836,F
103-1241-0019,103,F
5456-24741-0001,5456,M
8324-286681-0004,8324,F
198-126831-0048,198,F
6531-61334-0066,6531,F
8088-284756-0109,8088,M
1553-140047-0011,1553,F
4195-17507-0033,4195,F
839-130898-0000,839,M
7780-274562-0066,7780,F
730-360-0038,730,F
8238-274553-0023,8238,F
211-122442-0053,211,F
5393-19219-0022,5393,F
3214-167602-0001,3214,M
118-47824-0040,118,M
5456-58161-0019,5456,M
211-122425-0071,211,F
5808-54425-0038,5808,M
3242-8112-0038,3242,M
6531-61334-0100,6531,F
2391-145015-0077,2391,F
3982-182255-0000,3982,F
7859-102519-0019,7859,F
3440-171009-0062,3440,F
118-47824-0025,118,M
5789-70653-0013,5789,F
2817-142371-0036,2817,F
3982-178459-0012,3982,F
8312-279790-0021,8312,F
125-121342-0023,125,F
5561-41615-0017,5561,F
6925-80680-0063,6925,M
27-123349-0025,27,M
3112-9555-0036,3112,F
4680-16041-0003,4680,F
307-127539-0005,307,M
4014-186175-0008,4014,M
3112-9554-0023,3112,F
3879-173592-0035,3879,F
4014-186176-0000,4014,M
6925-80680-0016,6925,M
3830-12535-0004,3830,M
2843-152918-0008,2843,M
8088-284756-0090,8088,M
3168-173565-0046,3168,M
1183-133256-0003,1183,F
1447-130552-0007,1447,F
211-122442-0035,211,F
6078-54013-0002,6078,F
1183-128659-0001,1183,F
6367-74004-0023,6367,M
1898-145715-0035,1898,F
6531-61334-0068,6531,F
2136-5143-0035,2136,M
6081-41997-0000,6081,M
1926-143879-0002,1926,F
27-124992-0006,27,M
4088-158077-0048,4088,F
125-121124-0012,125,F
4051-11218-0000,4051,F
8238-274553-0053,8238,F
1578-6379-0025,1578,F
4051-11217-0009,4051,F
6415-116629-0018,6415,F
27-124992-0057,27,M
200-126784-0011,200,F
4406-16882-0057,4406,M
3830-12531-0031,3830,M
3240-131231-0006,3240,M
1737-146161-0013,1737,F
730-359-0013,730,F
39-121914-0056,39,F
4859-29340-0038,4859,M
1081-125237-0094,1081,M
27-124992-0004,27,M
1246-135815-0022,1246,F
200-124140-0012,200,F
1737-142397-0027,1737,F
7447-91186-0008,7447,M
6081-42010-0032,6081,M
6531-61334-0079,6531,F
7800-283478-0018,7800,F
2002-139469-0040,2002,M
5339-14133-0054,5339,F
1034-121119-0067,1034,M
5652-19215-0016,5652,F
5192-19397-0057,5192,M
5049-25947-0004,5049,M
7278-104730-0012,7278,M
2843-152918-0034,2843,M
1455-138263-0013,1455,M
7148-7763-0019,7148,F
5049-25947-0111,5049,M
6385-220959-0042,6385,F
625-132112-0004,625,M
1447-130550-0021,1447,F
2002-139469-0115,2002,M
5049-25947-0061,5049,M
8609-262281-0014,8609,M
5750-100289-0042,5750,M
4051-11217-0015,4051,F
6531-61334-0103,6531,F
3112-9555-0033,3112,F
40-121026-0009,40,F
118-47824-0015,118,M
118-47824-0065,118,M
307-127535-0017,307,M
1183-128659-0014,1183,F
2911-12359-0010,2911,M
6531-61334-0076,6531,F
5561-39621-0035,5561,F
2893-139310-0014,2893,M
2911-12359-0006,2911,M
1867-154071-0004,1867,M
1116-132847-0001,1116,F
5688-41232-0052,5688,F
5750-35690-0026,5750,M
125-121124-0088,125,F
211-122442-0029,211,F
201-122255-0044,201,M
2136-5143-0034,2136,M
3664-178355-0019,3664,M
2989-138035-0031,2989,F
2007-149877-0016,2007,F
6531-61334-0054,6531,F
83-9960-0024,83,F
1098-133695-0080,1098,F
8324-286683-0012,8324,F
2391-145015-0072,2391,F
4853-27671-0027,4853,F
730-360-0042,730,F
3879-173592-0030,3879,F
27-124992-0051,27,M
1594-135914-0055,1594,M
6476-57446-0045,6476,F
1116-132847-0021,1116,F
7302-86815-0036,7302,F
1363-135842-0037,1363,F
8238-274553-0041,8238,F
6531-61334-0064,6531,F
3259-158083-0032,3259,F
6078-54013-0037,6078,F
1624-168623-0019,1624,M
211-122425-0024,211,F
4014-186183-0017,4014,M
83-11691-0037,83,F
5789-57195-0035,5789,F
7278-104730-0016,7278,M
211-122425-0057,211,F
8226-274371-0045,8226,M
3526-176653-0018,3526,F
5049-25947-0011,5049,M
3857-182315-0022,3857,M
1963-147036-0002,1963,F
669-129061-0003,669,F
3259-158083-0026,3259,F
311-124404-0063,311,M
5703-47198-0059,5703,M
3486-166424-0047,3486,M
307-127535-0015,307,M
8629-261139-0041,8629,M
8629-261140-0030,8629,M
8063-274115-0027,8063,M
1867-154071-0000,1867,M
3879-174923-0070,3879,F
2764-36616-0006,2764,F
5339-14133-0047,5339,F
5339-14134-0050,5339,F
4898-28461-0065,4898,M
7859-102519-0020,7859,F
6209-34599-0006,6209,M
89-218-0049,89,F
27-124992-0015,27,M
4680-16042-0027,4680,F
1502-122615-0021,1502,F
26-495-0088,26,M
460-172359-0064,460,M
4195-17507-0011,4195,F
5049-25947-0074,5049,M
7302-86815-0008,7302,F
2136-5143-0037,2136,M
4680-16026-0018,4680,F
6925-80680-0032,6925,M
8238-274553-0051,8238,F
7302-86815-0062,7302,F
322-124147-0023,322,F
1594-135914-0103,1594,M
1898-145724-0009,1898,F
2092-145706-0059,2092,F
445-123857-0016,445,M
5104-33406-0021,5104,M
2989-138035-0015,2989,F
5652-19215-0010,5652,F
7113-86041-0110,7113,F
8063-274112-0024,8063,M
5561-41615-0048,5561,F
229-130880-0046,229,M
1867-148436-0010,1867,M
4088-158077-0006,4088,F
460-172359-0065,460,M
7278-104730-0042,7278,M
1737-146161-0010,1737,F
7178-34645-0029,7178,F
4859-29340-0022,4859,M
4018-107338-0002,4018,M
254-12312-0000,254,M
5688-15787-0040,5688,F
2518-154826-0045,2518,M
2989-138035-0053,2989,F
1502-122615-0027,1502,F
4441-76263-0012,4441,M
6000-55211-0010,6000,F
446-123502-0049,446,M
5456-24741-0018,5456,M
254-127705-0021,254,M
481-123720-0039,481,M
2911-12359-0009,2911,M
696-93314-0064,696,F
3526-175658-0012,3526,F
39-121916-0026,39,F
2911-12359-0013,2911,M
211-122442-0048,211,F
1624-142933-0000,1624,M
2843-152918-0073,2843,M
302-123523-0021,302,F
1898-145720-0012,1898,F
5104-33406-0018,5104,M
6385-220959-0000,6385,F
211-122442-0081,211,F
7635-105409-0050,7635,F
5192-19396-0005,5192,M
1455-134435-0073,1455,M
8063-274117-0000,8063,M
60-121082-0085,60,M
696-93314-0016,696,F
3723-171631-0027,3723,M
1098-133695-0067,1098,F
8975-270782-0035,8975,F
5456-62014-0016,5456,M
1970-28415-0030,1970,F
1116-132851-0016,1116,F
27-124992-0029,27,M
4813-248638-0039,4813,M
8088-284756-0037,8088,M
3240-131232-0001,3240,M
3982-178459-0004,3982,F
1098-133695-0086,1098,F
625-132112-0031,625,M
5514-19192-0026,5514,F
87-121553-0077,87,F
7635-105661-0048,7635,F
730-358-0054,730,F
2136-5147-0037,2136,M
4441-76263-0035,4441,M
6019-3185-0030,6019,M
3168-173565-0035,3168,M
226-131532-0034,226,F
4859-22176-0022,4859,M
4137-11701-0016,4137,F
426-122819-0015,426,F
1841-179183-0009,1841,F
445-123860-0023,445,M
7148-82991-0012,7148,F
27-124992-0039,27,M
118-121721-0023,118,M
3242-67153-0011,3242,M
5750-35690-0030,5750,M
3240-131231-0051,3240,M
5652-19215-0033,5652,F
4014-186179-0044,4014,M
4441-76263-0008,4441,M
83-11691-0013,83,F
909-131044-0000,909,M
3214-167607-0009,3214,M
2910-131096-0028,2910,F
625-132112-0053,625,M
4014-186183-0027,4014,M
125-121124-0078,125,F
27-124992-0022,27,M
2289-152257-0006,2289,M
39-121915-0007,39,F
3486-166446-0004,3486,M
4340-15220-0098,4340,F
89-218-0015,89,F
2159-179156-0031,2159,M
1183-133256-0009,1183,F
1246-124548-0045,1246,F
5393-19218-0017,5393,F
2391-145015-0071,2391,F
4088-158077-0056,4088,F
7635-105409-0005,7635,F
3259-158083-0041,3259,F
7800-283492-0012,7800,F
7302-86814-0028,7302,F
8088-284756-0092,8088,M
7505-83618-0011,7505,M
8051-118101-0027,8051,F
5456-24741-0015,5456,M
4195-186236-0009,4195,F
1334-135589-0030,1334,M
7635-105409-0035,7635,F
2989-138035-0012,2989,F
1034-121119-0021,1034,M
1098-133695-0082,1098,F
8226-274369-0045,8226,M
730-359-0018,730,F
3983-5371-0039,3983,F
1235-135883-0014,1235,M
39-121914-0001,39,F
311-124404-0029,311,M
1898-145724-0011,1898,F
32-4137-0011,32,F
4267-78186-0029,4267,M
4397-15678-0030,4397,M
32-4137-0041,32,F
8425-287387-0027,8425,M
2989-138028-0017,2989,F
1455-138263-0002,1455,M
8975-270782-0029,8975,F
5750-35690-0027,5750,M
118-47824-0013,118,M
211-122442-0028,211,F
